t`s`float	v(rst)`V`float	v(clk)`V`float	v(d)`V`float	v(vdd!)`V`float	v(vss)`V`float
2.13916e-08	2.5	2.5	7.84999e-05	2.50112	0.000558511
2.14112e-08	2.5	2.5	0.000199135	2.50894	0.00447165
2.14347e-08	2.5	2.5	0.000317236	2.51681	0.00840296
2.14624e-08	2.5	2.5	0.000405131	2.52305	0.0115257
2.14791e-08	2.5	2.5	0.00042975	2.52511	0.0125573
2.14958e-08	2.5	2.5	0.000432974	2.52589	0.0129469
2.15326e-08	2.5	2.5	0.000375844	2.52361	0.0118049
2.15581e-08	2.5	2.5	0.000302124	2.5198	0.00989867
2.15835e-08	2.5	2.5	0.000200407	2.51416	0.0070795
2.16155e-08	2.5	2.5	6.60734e-05	2.50641	0.00320459
2.16618e-08	2.5	2.5	-0.000102887	2.49621	-0.00189467
2.17163e-08	2.5	2.5	-0.000213175	2.48898	-0.00550817
2.17992e-08	2.5	2.5	-0.000178465	2.48988	-0.00505941
2.19053e-08	2.5	2.5	2.57691e-05	2.5015	0.000750496
2.19883e-08	2.5	2.5	0.000128529	2.50809	0.00404453
2.21017e-08	2.5	2.5	6.79209e-05	2.50515	0.0025758
2.22721e-08	2.5	2.5	-0.000100121	2.49467	-0.00266497
2.25242e-08	2.5	2.5	-6.88824e-06	2.49921	-0.000392745
2.27757e-08	2.5	2.5	7.44459e-05	2.50469	0.00234306
2.31427e-08	2.5	2.5	-7.09796e-05	2.49597	-0.00201723
2.35112e-08	2.5	2.5	2.87774e-05	2.50138	0.000690326
2.38e-08	2.5	2.5	2.92919e-05	2.50202	0.00100816
2.38375e-08	2.5	2.1875	-4.43282e-05	2.49706	-0.00146901
2.38552e-08	2.5	2.04001	-7.31084e-05	2.49517	-0.0024151
2.39118e-08	2.5	1.56802	-0.000146839	2.48993	-0.00503284
2.39562e-08	2.5	1.19815	-0.00016484	2.48821	-0.00589552
2.39839e-08	2.5	0.967461	-0.000158389	2.48819	-0.00590327
2.40116e-08	2.5	0.736769	-0.000138358	2.48899	-0.0055036
2.40286e-08	2.5	0.595295	-0.000117755	2.49009	-0.00495718
2.40455e-08	2.5	0.453822	-9.12939e-05	2.49158	-0.0042107
2.40586e-08	2.5	0.344867	-6.57289e-05	2.49309	-0.00345488
2.40717e-08	2.5	0.235913	-3.6026e-05	2.49489	-0.00255561
